the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta,council,schooldist,policeprct,censtract,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasource,uid
0101000020E61000007B728990147D52C0C838DB54D9674440,0101000020110F0000882F45FC9C675FC12231B2C6B9035341,ROOSEVELT TRIANGLE,,,,NEW YORK,10027,MANHATTAN,1,0,0,109,MN09,7,05,26,020901,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.811328208,-73.9543816011,996877.983975,234869.119187,dpr_parksproperties,3a79e4de8738e5cc02b2a8f7e9c00afc
0101000020E6100000BFF4D8BD338552C07F339407E2524440,0101000020110F0000587A41AD68755FC14B6925643AEC5241,NORTH SHORE ESPLANADE,,,,STATEN ISLAND,10301,STATEN ISLAND,5,0,5000020599,501,SI22,49,31,120,000700,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6475311172,-74.0812845249,961693.624569,175199.891664,dpr_parksproperties,3ac422256951b7a9a1f01db5e74a415b
0101000020E6100000DBC32A6DD47352C0DA933F4CCE614440,0101000020110F0000CCB2E676E6575FC11DF6806CF2FC5241,LEONARD SQUARE,,,,FLUSHING,11354,QUEENS,4,0,0,407,QN51,20,25,109,117100,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7641164839,-73.8098418692,1036926.4529,217722.157383,dpr_parksproperties,3adb092a911ba204d0cec99d7d197965
0101000020E61000004DDB91B28C7052C0C63F0A792B564440,0101000020110F000001A0B51954525FC167053E75E8EF5241,SOUTH GATE MALL,,,,SPRINGFIELD GARDENS,11413,QUEENS,4,0,0,412,QN66,27,29,113,032800,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6732099427,-73.7585888631,1051215.49403,184637.216663,dpr_parksproperties,3adff7afa788ebc0f2414a4861df68c1
0101000020E6100000FFE6BB9C687F52C0F446269F485D4440,0101000020110F0000B280AD6E916B5FC1BDCC9CA1E0F75241,COOPER TRIANGLE,,,,NEW YORK,10003,MANHATTAN,1,0,1005440075,103,MN22,2,01,9,004200,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7287869976,-73.9907614688,986810.561439,204793.453098,dpr_parksproperties,2b9ab861e0a286269a8ae4d30c8ec202
0101000020E6100000806CFB0F9F8552C0FC8EFA44E84D4440,0101000020110F00006D90D6F81E765FC110409BFFA8E65241,TARGEE STREET TRIANGLE,,,,STATEN ISLAND,10304,STATEN ISLAND,5,0,5029060050,501,SI08,49,31,120,004000,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6086590344,-74.0878348693,959861.710478,161039.516914,dpr_parksproperties,2a59599773925d3b957205469a905d34
0101000020E6100000DE23C6C6517F52C04040EC3D5F594440,0101000020110F000055F5B9A46A6B5FC19078939B7EF35241,WALT WHITMAN PARK,,,,BROOKLYN,11201,BROOKLYN,3,0,3000850001,302,BK38,33,13,84,001300,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6982273057,-73.9893676815,987198.21647,193659.672668,dpr_parksproperties,2ac97d654fd948bff4b3a8a11e7bcde4
0101000020E61000008852FA66F67352C085044A0BF3544440,0101000020110F0000D20C022D20585FC1347E13A08AEE5241,PARK,,,,SOUTH OZONE PARK,11420,QUEENS,4,0,0,410,QN55,28,27,106,084602,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6636753707,-73.8119155833,1036430.5783,181127.245976,dpr_parksproperties,2bc3f8b28bf122c0e76c7c184c1027a7
0101000020E61000000ADF00ED717852C0F27AE24FB0574440,0101000020110F0000EAE8295CBD5F5FC163FE3EEB9BF15241,SAM LEGGIO TRIANGLE,,,23 HIGHLAND PLACE,BROOKLYN,11208,BROOKLYN,3,0,3039030001,305,BK83,37,19,75,117400,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6850763717,-73.8819548864,1016988.96392,188890.281822,dpr_parksproperties,2be98d97f03727d8b391752ee8bd26af
0101000020E6100000B2C6516F347952C01FB4D47DF16B4440,0101000020110F00004EFAD1C007615FC150E3B63A52085341,PARK,,,,BRONX,10457,BRONX,2,0,0,206,BX17,15,12,48,036902,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8433155222,-73.8938267887,1013626.50138,246537.783141,dpr_parksproperties,2d57a5b05ce606688cbd0f9ebf313bd8
